N°,Etapa,Mes,Actividad,Detalle técnico / Base normativa Organica y Comercio Justo,Responsable,Jornales/ha (ref.),Precio jornal USD (ref.),Insumo(s),Cantidad/ha (ref.),Unidad,Herramientas / Equipo,Dato a capturar en Blockchain (trazabilidad)
20,Producción,Noviembre,Fertilización orgánica principal (antes de lluvias),Aplicación prioritaria de abonos orgánicos antes del inicio de la temporada de lluvias,Productor + Jornal,4,16,Compost / humus / biol,5–8,qq/ha (sólido) o 300 L/ha (líquido),"Azadón, carretilla, bomba de mochila","id_lote, tipo_abono, cantidad_aplicada, fecha"
21,Producción,Noviembre,Inspección interna anual de finca (SIC PROCAFEQ),Verificación de cumplimiento normativo interno; requisito mínimo 1 vez/año,Técnico Promotor / Comisión Interna de Control,1,16,Ninguno,-,-,Ficha de inspección interna (checklist homologado),"id_finca, fecha_inspeccion, inspector, resultado_SI_NO_NA, no_conformidades"
22,Producción,Noviembre,Manejo de malezas (post-fertilización),Limpia manual selectiva conservando cobertura noble,Jornal contratado,3,16,Ninguno,-,-,"Machete, azadón","id_lote, fecha, jornales"
23,Producción,Diciembre,"Floración (monitoreo, sin intervención directa)",Primeras lluvias inducen floración; verificar uniformidad por lote,Productor,"0,5",16,Ninguno,-,-,Ninguno,"id_lote, fecha_floracion, %uniformidad"
24,Producción,Diciembre,Resiembra de fallas,Reemplazo de plantas muertas con plántulas de vivero propio,Jornal contratado,2,16,"Plántulas de vivero, compost inicial",0.13 lb muriato K + 0.15 lb roca fosfórica/sitio,por sitio,"Barreno/pala, machete","id_lote, N_plantas_resembradas, origen_plantula, fecha"
25,Producción,Diciembre,Cierre de registros anuales,"Actualización de inventario de equipos/insumos, registros de ingresos/egresos y libro de campo",Productor,1,16,Ninguno,-,-,Cuaderno del productor,"id_finca, periodo, registros_completos (bool)"
26,Cosecha,Mayo,Preparación logística de cosecha,"Revisión de sacos, baldes, gavetas; contratación anticipada de jornales para pico de cosecha",Productor,1,16,Sacos de yute limpios,según proyección qq,unidades,"Sacos, baldes, gavetas plásticas","id_finca, N_sacos_disponibles, jornales_contratados_proyectados"
27,Cosecha,Junio,Recolección selectiva (inicio de cosecha),Cosecha manual únicamente de granos maduros (rojo intenso–concho de vino); pedúnculo queda en la rama,Jornal contratado (pago por lata cosechada),4–6 (según rendimiento),2.5–3.5 USD/lata (25 lb cereza),Ninguno,-,-,"Baldes/latas de cosecha, sacos","id_lote, fecha_cosecha, N_jornaleros, kg_cereza_recolectada, %madurez_estimado"
28,Cosecha,Junio,Pasadas de recolección (repaso de cafetal),Pasadas periódicas (cada 8–15 días) para evitar sobremaduración y ataque de broca,Jornal contratado,según N° pasadas,2.5–3.5 USD/lata (25 lb cereza),Ninguno,-,-,Baldes/latas,"id_lote, N_pasada, fecha, kg_recolectados"
29,Cosecha,Julio,Cosecha pico (recolección diaria),Período de máxima producción; traslado inmediato de cereza a beneficiadero (evitar fermentación en sacos al sol),Jornal contratado (pago por lata cosechada),6–8,2.5–3.5 USD/lata (25 lb cereza),Ninguno,-,-,"Baldes/latas, sacos, medio de transporte","id_lote, fecha, kg_cereza_dia, tiempo_transporte_a_beneficio_horas"
30,Cosecha,Agosto,Cosecha pico / continuación,Recolección selectiva continua según curva de maduración del lote,Jornal contratado (pago por lata cosechada),6–8,2.5–3.5 USD/lata (25 lb cereza),Ninguno,-,-,"Baldes/latas, sacos","id_lote, fecha, kg_cereza_dia"
31,Cosecha,Septiembre,Cierre de cosecha principal,Última recolección de cerezas maduras remanentes antes de la repela,Jornal contratado,3–4,2.5–3.5 USD/lata (25 lb cereza),Ninguno,-,-,"Baldes/latas, sacos","id_lote, fecha_cierre_cosecha, kg_total_temporada"
32,Pos-cosecha,Junio,Boyado (clasificación por flotación),"Inmersión de cereza en agua; se descartan flotantes (vanas, brocadas, boyas) y material extraño",Productor / Jornal,1,16,Agua limpia,según volumen cereza,L,Tanque/tina de boyado,"id_lote_beneficio, kg_cereza_boyada, kg_descarte, fecha"
33,Pos-cosecha,Junio,Despulpado (mismo día de cosecha),Separación de pulpa/cáscara mediante despulpadora calibrada; pulpa destinada a compost,Productor,1,16,Ninguno,-,-,Despulpadora manual/motorizada calibrada,"id_lote_beneficio, kg_cereza_entrada, kg_pergamino_humedo_salida, hora_despulpado"
34,Pos-cosecha,Junio,Fermentación,"Reposo del grano despulpado en recipiente plástico o tanque de cemento revestido, 10–12 horas",Productor,"0,2",16,Ninguno,-,-,Tanques/baldes de fermentación,"id_lote_beneficio, hora_inicio_fermentacion, hora_fin, duracion_horas, temperatura_ambiente"
35,Pos-cosecha,Junio,Lavado,Lavado manual inmediato tras fermentación; ~20 L de agua por kg de café; aguas mieles a pozo de decantación,Productor,"0,5",16,Agua limpia,20,L/kg café,"Tanques de lavado, pozo de decantación de aguas mieles","id_lote_beneficio, volumen_agua_usada, destino_aguas_mieles, fecha_lavado"
36,Pos-cosecha,Junio,Secado,Exposición al sol en marquesinas/tendales (nunca sobre suelo/plástico en el piso) hasta 12% humedad,Productor,2,16,Ninguno,-,-,"Marquesinas, tendales, medidor de humedad","id_lote_beneficio, %humedad_inicial, %humedad_final, dias_secado, N_soles"
37,Pos-cosecha,Junio,Almacenamiento en finca,"Ensacado en yute nuevo etiquetado (productor, comunidad, % humedad); acopio sobre pallets, separado por calidad",Productor,"0,5",16,Sacos de yute nuevos,1 saco/125 lb,unidad,"Pallets/tablas de madera, bodega ventilada","id_lote_beneficio, codigo_saco, %humedad, calidad, fecha_ensacado"
38,Pos-cosecha,Julio,Primera entrega de café pergamino a PROCAFEQ,Entrega a la asociación con humedad 12–14%; embalaje 125 lb; etiquetado con código de productor y lote,Productor,1,16,"Etiquetas, cinta masking",-,-,"Balanza, medio de transporte limpio","id_entrega=1, qq_entregados, %humedad, codigo_productor, guia_remision"
39,Pos-cosecha,Agosto,Segunda entrega de café pergamino a PROCAFEQ,Continuación de entregas según cronograma de acopio de la asociación,Productor,1,16,Etiquetas,-,-,"Balanza, transporte","id_entrega=2, qq_entregados, %humedad, guia_remision"
40,Pos-cosecha,Septiembre,Entrega final de café pergamino a PROCAFEQ,Cierre de campaña; mínimo 10 qq/ha en máx. 2 años (margen de error 20% en estimación),Productor,1,16,Etiquetas,-,-,"Balanza, transporte","id_entrega=final, qq_total_temporada, %humedad, guia_remision, cumplimiento_meta_qq_ha"
41,Pos-cosecha,Septiembre,Transporte a planta de procesamiento (FAPECAFES),Aviso previo 24h; recepción L-V 08:00–15:00; vehículo limpio y separado de producto convencional,PROCAFEQ (encargado de comercialización),-,-,Ninguno,-,-,"Guía de remisión y guía de transporte, vehículo dedicado","id_lote_asociacion, fecha_aviso, fecha_entrega_planta, %humedad_recepcion, peso_neto_recepcion"
